,Month,Year,UNRATE,GDP,CPI,President,Party
0,January,1948,3.4,265.742,23.68,Harry S Truman,Democratic
2,February,1948,3.8,268.017,23.67,Harry S Truman,Democratic
4,March,1948,4.0,270.29200000000003,23.5,Harry S Truman,Democratic
6,April,1948,3.9,272.567,23.82,Harry S Truman,Democratic
8,May,1948,3.5,274.7766666666667,24.01,Harry S Truman,Democratic
10,June,1948,3.6,276.98633333333333,24.15,Harry S Truman,Democratic
12,July,1948,3.6,279.196,24.4,Harry S Truman,Democratic
14,August,1948,3.9,279.586,24.43,Harry S Truman,Democratic
16,September,1948,3.8,279.976,24.36,Harry S Truman,Democratic
18,October,1948,3.7,280.366,24.31,Harry S Truman,Democratic
20,November,1948,3.8,278.58866666666665,24.16,Harry S Truman,Democratic
22,December,1948,4.0,276.8113333333333,24.05,Harry S Truman,Democratic
24,January,1949,4.3,275.034,24.01,Harry S Truman,Democratic
26,February,1949,4.7,273.8063333333333,23.91,Harry S Truman,Democratic
28,March,1949,5.0,272.57866666666666,23.91,Harry S Truman,Democratic
30,April,1949,5.3,271.351,23.92,Harry S Truman,Democratic
32,May,1949,6.1,271.8636666666667,23.91,Harry S Truman,Democratic
34,June,1949,6.2,272.3763333333333,23.92,Harry S Truman,Democratic
36,July,1949,6.7,272.889,23.7,Harry S Truman,Democratic
38,August,1949,6.8,272.135,23.7,Harry S Truman,Democratic
40,September,1949,6.6,271.38100000000003,23.75,Harry S Truman,Democratic
42,October,1949,7.9,270.627,23.67,Harry S Truman,Democratic
44,November,1949,6.4,274.02733333333333,23.7,Harry S Truman,Democratic
46,December,1949,6.6,277.42766666666665,23.61,Harry S Truman,Democratic
48,January,1950,6.5,280.828,23.51,Harry S Truman,Democratic
50,February,1950,6.4,284.013,23.61,Harry S Truman,Democratic
52,March,1950,6.3,287.198,23.64,Harry S Truman,Democratic
54,April,1950,5.8,290.383,23.65,Harry S Truman,Democratic
56,May,1950,5.5,296.3063333333333,23.77,Harry S Truman,Democratic
58,June,1950,5.4,302.2296666666667,23.88,Harry S Truman,Democratic
60,July,1950,5.0,308.153,24.07,Harry S Truman,Democratic
62,August,1950,4.5,312.08366666666666,24.2,Harry S Truman,Democratic
64,September,1950,4.4,316.01433333333335,24.34,Harry S Truman,Democratic
66,October,1950,4.2,319.945,24.5,Harry S Truman,Democratic
68,November,1950,4.2,325.2966666666667,24.6,Harry S Truman,Democratic
70,December,1950,4.3,330.6483333333333,24.98,Harry S Truman,Democratic
72,January,1951,3.7,336.0,25.38,Harry S Truman,Democratic
74,February,1951,3.4,338.69666666666666,25.83,Harry S Truman,Democratic
76,March,1951,3.4,341.3933333333333,25.88,Harry S Truman,Democratic
78,April,1951,3.1,344.09,25.92,Harry S Truman,Democratic
80,May,1951,3.0,346.52166666666665,25.99,Harry S Truman,Democratic
82,June,1951,3.2,348.9533333333333,25.93,Harry S Truman,Democratic
84,July,1951,3.1,351.385,25.91,Harry S Truman,Democratic
86,August,1951,3.1,352.98266666666666,25.86,Harry S Truman,Democratic
88,September,1951,3.3,354.58033333333333,26.03,Harry S Truman,Democratic
90,October,1951,3.5,356.178,26.16,Harry S Truman,Democratic
92,November,1951,3.5,357.392,26.32,Harry S Truman,Democratic
94,December,1951,3.1,358.606,26.47,Harry S Truman,Democratic
96,January,1952,3.2,359.82,26.45,Harry S Truman,Democratic
98,February,1952,3.1,360.2233333333333,26.41,Harry S Truman,Democratic
100,March,1952,2.9,360.62666666666667,26.39,Harry S Truman,Democratic
102,April,1952,2.9,361.03,26.46,Harry S Truman,Democratic
104,May,1952,3.0,363.2536666666667,26.47,Harry S Truman,Democratic
106,June,1952,3.0,365.4773333333333,26.53,Harry S Truman,Democratic
108,July,1952,3.2,367.701,26.68,Harry S Truman,Democratic
110,August,1952,3.4,372.07133333333337,26.69,Harry S Truman,Democratic
112,September,1952,3.1,376.44166666666666,26.63,Harry S Truman,Democratic
114,October,1952,3.0,380.812,26.69,Harry S Truman,Democratic
116,November,1952,2.8,383.20133333333337,26.69,Harry S Truman,Democratic
118,December,1952,2.7,385.59066666666666,26.71,Harry S Truman,Democratic
120,January,1953,2.9,387.98,26.64,Dwight D Eisenhower,Democratic
122,January,1953,2.9,387.98,26.64,Dwight D Eisenhower,Republican
124,February,1953,2.6,389.23633333333333,26.59,Dwight D Eisenhower,Republican
126,March,1953,2.6,390.4926666666667,26.63,Dwight D Eisenhower,Republican
128,April,1953,2.7,391.749,26.69,Dwight D Eisenhower,Republican
130,May,1953,2.5,391.5563333333333,26.7,Dwight D Eisenhower,Republican
132,June,1953,2.5,391.3636666666667,26.77,Dwight D Eisenhower,Republican
134,July,1953,2.6,391.171,26.79,Dwight D Eisenhower,Republican
136,August,1953,2.7,389.43733333333336,26.85,Dwight D Eisenhower,Republican
138,September,1953,2.9,387.70366666666666,26.89,Dwight D Eisenhower,Republican
140,October,1953,3.1,385.97,26.95,Dwight D Eisenhower,Republican
142,November,1953,3.5,385.7616666666667,26.85,Dwight D Eisenhower,Republican
144,December,1953,4.5,385.55333333333334,26.87,Dwight D Eisenhower,Republican
146,January,1954,4.9,385.345,26.94,Dwight D Eisenhower,Republican
148,February,1954,5.2,385.6036666666667,26.99,Dwight D Eisenhower,Republican
150,March,1954,5.7,385.8623333333333,26.93,Dwight D Eisenhower,Republican
152,April,1954,5.9,386.121,26.86,Dwight D Eisenhower,Republican
154,May,1954,5.9,387.746,26.93,Dwight D Eisenhower,Republican
156,June,1954,5.6,389.371,26.94,Dwight D Eisenhower,Republican
158,July,1954,5.8,390.996,26.86,Dwight D Eisenhower,Republican
160,August,1954,6.0,393.90866666666665,26.85,Dwight D Eisenhower,Republican
162,September,1954,6.1,396.8213333333333,26.81,Dwight D Eisenhower,Republican
164,October,1954,5.7,399.734,26.72,Dwight D Eisenhower,Republican
166,November,1954,5.3,404.1803333333333,26.78,Dwight D Eisenhower,Republican
168,December,1954,5.0,408.62666666666667,26.77,Dwight D Eisenhower,Republican
170,January,1955,4.9,413.073,26.77,Dwight D Eisenhower,Republican
172,February,1955,4.7,415.8926666666666,26.82,Dwight D Eisenhower,Republican
174,March,1955,4.6,418.71233333333333,26.79,Dwight D Eisenhower,Republican
176,April,1955,4.7,421.532,26.79,Dwight D Eisenhower,Republican
178,May,1955,4.3,424.42833333333334,26.77,Dwight D Eisenhower,Republican
180,June,1955,4.2,427.32466666666664,26.71,Dwight D Eisenhower,Republican
182,July,1955,4.0,430.221,26.76,Dwight D Eisenhower,Republican
184,August,1955,4.2,432.5113333333333,26.72,Dwight D Eisenhower,Republican
186,September,1955,4.1,434.8016666666667,26.85,Dwight D Eisenhower,Republican
188,October,1955,4.3,437.092,26.82,Dwight D Eisenhower,Republican
190,November,1955,4.2,437.97666666666663,26.88,Dwight D Eisenhower,Republican
192,December,1955,4.2,438.86133333333333,26.87,Dwight D Eisenhower,Republican
