,State,Total Votes,Republican Votes,Republican Percentage,Republican Electoral,Democratic Votes,Democratic Percentage,Democratic Electoral,President Elect,Winning Party,year
0,Alabama,214980,40930,19.0,0,0,0.0,0,Harry S Truman,D,1948
1,Arizona,177065,77597,43.8,0,95251,53.8,4,Harry S Truman,D,1948
2,Arkansas,242475,50959,21.0,0,149659,61.7,9,Harry S Truman,D,1948
3,California,4021538,1895269,47.1,0,1913134,47.6,25,Harry S Truman,D,1948
4,Colorado,515237,239714,46.5,0,267288,51.9,6,Harry S Truman,D,1948
5,Connecticut,883518,437754,49.5,8,423297,47.9,0,Harry S Truman,D,1948
6,Delaware,139073,69588,50.0,3,67813,48.8,0,Harry S Truman,D,1948
7,Florida,577643,194280,33.6,0,281988,48.8,8,Harry S Truman,D,1948
8,Georgia,418844,76691,18.3,0,254646,60.8,12,Harry S Truman,D,1948
9,Idaho,214816,101514,47.3,0,107370,50.0,4,Harry S Truman,D,1948
10,Illinois,3984046,1961103,49.2,0,1994715,50.1,28,Harry S Truman,D,1948
11,Indiana,1656212,821079,49.6,13,807831,48.8,0,Harry S Truman,D,1948
12,Iowa,1038264,494018,47.6,0,522380,50.3,10,Harry S Truman,D,1948
13,Kansas,788819,423039,53.6,8,351902,44.6,0,Harry S Truman,D,1948
14,Kentucky,822658,341210,41.5,0,466756,56.7,11,Harry S Truman,D,1948
15,Louisiana,416336,72657,17.5,0,136344,32.7,0,Harry S Truman,D,1948
16,Maine,264787,150234,56.7,5,111916,42.3,0,Harry S Truman,D,1948
17,Maryland,596748,294814,49.4,8,286521,48.0,0,Harry S Truman,D,1948
18,Massachusetts,2107146,909370,43.2,0,1151788,54.7,16,Harry S Truman,D,1948
19,Michigan,2109609,1038595,49.2,19,1003448,47.6,0,Harry S Truman,D,1948
20,Minnesota,1212226,483617,39.9,0,692966,57.2,11,Harry S Truman,D,1948
21,Mississippi,192190,5043,2.6,0,19384,10.1,0,Harry S Truman,D,1948
